品名,户型,价格,用户点评,品名链接,详情链接,户型链接,点评链接,看房团链接,物业类别,项目特色,建筑类别,装修状况,产权年限,环线位置,销售状态,楼盘优惠,开盘时间,交房时间,售楼地址,咨询电话,占地面积,建筑面积,容积率,绿化率,停车位,楼栋总数,总户数,物业公司,物业费
恒大帝景（备案名：恒大茸景佳苑）,4室4厅1厨4卫 200.00㎡(建面)|4室2厅1厨3卫 199.00㎡(建面)|3室2厅1厨2卫 141.00㎡(建面)|4室2厅1厨2卫 153.00㎡(建面)|4室2厅1厨2卫 157.00㎡(建面)|4室2厅1厨2卫 171.00㎡(建面)|2室2厅1厨1卫 83.00㎡(建面)|3室2厅1厨1卫 103.00㎡(建面)|3室2厅1厨1卫 104.00㎡(建面)|3室2厅1厨1卫 105.00㎡(建面)|3室2厅1厨2卫 124.00㎡(建面)|3室2厅1厨2卫 124.00㎡(建面)|,约45000元/平方米起,3.74,http://hengdadijing021.fang.com/,http://hengdadijing021.fang.com/house/1211194826/housedetail.htm,http://hengdadijing021.fang.com/photo/list_900_1211194826.htm,http://hengdadijing021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",品牌地产,板楼小高层高层,暂无,花园洋房:70年70年,外环以外,在售,暂无,599弄4-5#等已于2017年11月21日开盘[开盘时间详情],599弄1#等预计2018年6月底交房,松江区茸树路599弄（文翔路、茸树路交叉口东南侧）,400-890-0000转817635,69936平方米,153975平方米,1.6,35%,恒大帝景有745个机动车停车位，其中地下停车位738个，980个非机动车停车位，地面设有临时停车位。,27栋,774户,上海金碧物业管理有限公司,3.00元/㎡·月
金地都会艺境别墅,3室3厅1厨2卫 118.00㎡(建面)|4室2厅1厨2卫 140.00㎡(建面)|3室2厅1厨2卫 102.00㎡(建面)|3室3厅1厨3卫 103.00㎡(建面)|3室3厅1厨3卫 120.00㎡(建面)|,待定,3.86,http://douhuiyijingjd.fang.com/,http://douhuiyijingjd.fang.com/house/1211276364/housedetail.htm,http://douhuiyijingjd.fang.com/photo/list_900_1211276364.htm,http://douhuiyijingjd.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产低密居所复合地产特色别墅,联排,毛坯,联排:70年,外环以外,待售,暂无,2017-05-06推出叠加别墅42#等[开盘时间详情],2018年3月24日交付11-58#,松江陈春公路677弄（莘闵别墅区陈春路与明兴路交汇处）,400-890-0000转839999,73000平方米,116000平方米,1.6,40%,金地都会艺境停车位980个,58栋,337户,金地物业公司,3.60元/㎡·月
大发融悦四季,3室2厅1厨2卫 119.00㎡(建面)|3室2厅1厨1卫 85.00㎡(建面)|3室2厅1厨2卫 90.00㎡(建面)|3室2厅1厨2卫 95.00㎡(建面)|,待定,3.78,http://rongyuesijidf.fang.com/,http://rongyuesijidf.fang.com/house/1210125738/housedetail.htm,http://rongyuesijidf.fang.com/photo/list_900_1210125738.htm,http://rongyuesijidf.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",地铁沿线花园洋房,板楼多层小高层高层,非毛坯,70年花园洋房:70年,外环以外,待售,暂无,预计2018年6月加推[开盘时间详情],预计2019年9月交付,青浦区夏阳街道秀泽路汇金路交叉口,400-890-0000转815764,27508平方米,85534平方米,2,35%,暂无资料,8栋,548户,暂无资料,暂无资料
上实海上公元,3室2厅1厨2卫 116.00㎡(建面)|3室2厅1厨2卫 117.00㎡(建面)|3室2厅1厨2卫 126.00㎡(建面)|3室2厅1厨1卫 86.00㎡(建面)|,均价约45000元/平方米,3.77,http://haishanggongyuanss.fang.com/,http://haishanggongyuanss.fang.com/house/1210124996/housedetail.htm,http://haishanggongyuanss.fang.com/photo/list_900_1210124996.htm,http://haishanggongyuanss.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,公园地产,板楼小高层高层,非毛坯,70年,外环以外,在售,暂无,2017年1月14日2-3#、7-9#、13#、16#已开盘[开盘时间详情],预计2018年年底2-3#、7-9#、13#、16#交房,嘉定区伊宁路与裕民南路交汇处,400-890-0000转834770,58949平方米,164395平方米,2,35%,共1259个停车位（住宅858，公建401），车位配比1:1.27，其中地上停车位154个（住宅131，公建23），地下停车位1105个（住宅727，公建378）。,11栋,676户,上海上实物业管理有限公司,3.20元/㎡·月
嘉宝梦之缘景庭,2室2厅1厨1卫 101.00㎡(建面)|3室2厅1厨1卫 114.00㎡(建面)|3室2厅1厨2卫 139.00㎡(建面)|2室2厅1厨1卫 95.00㎡(建面)|2室2厅1厨1卫 97.00㎡(建面)|2室2厅1厨1卫 100.00㎡(建面)|2室2厅1厨2卫 109.00㎡(建面)|2室2厅1厨1卫 103.00㎡(建面)|1室2厅1厨1卫 69.00㎡(建面)|1室2厅1厨1卫 76.00㎡(建面)|2室2厅1厨2卫 129.00㎡(建面)|2室2厅1厨2卫 139.00㎡(建面)|,均价约45000元/平方米,2.98,http://mengzhiyuanjingtingjb.fang.com/,http://mengzhiyuanjingtingjb.fang.com/house/1211253698/housedetail.htm,http://mengzhiyuanjingtingjb.fang.com/photo/list_900_1211253698.htm,http://mengzhiyuanjingtingjb.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",地铁沿线复合地产,板塔结合多层小高层高层,非毛坯,70年花园洋房:70年,外环以外,在售,暂无,2016年3月19日1028弄1-2#、1033弄1-8#、13-14#已加推[开盘时间详情],1033弄1-22#2017年12月30日已交房,嘉定区云屏路1051号（宝塔路与云屏路交汇口）,400-890-0000转827938,74122平方米,231522平方米,2.13,36.53%,共1690个（地上220个/地下1470个），车位配比1:1.18,27栋,1438户,上海嘉宝物业服务有限公司,3.20元/㎡·月
欣悦华庭,2室2厅1厨1卫 90.00㎡(建面)|2室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨1卫 96.00㎡(建面)|3室2厅1厨2卫 123.00㎡(建面)|1室2厅1厨1卫 69.00㎡(建面)|,约200万元/套起,3.78,http://xinyuehuating021.fang.com/,http://xinyuehuating021.fang.com/house/1210125902/housedetail.htm,http://xinyuehuating021.fang.com/photo/list_900_1210125902.htm,http://xinyuehuating021.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房",小户型花园洋房,板楼小高层高层,毛坯,花园洋房:70年70年,外环以外,在售,暂无,3-12#已于2017年7月9日开盘[开盘时间详情],预计2018年6月份交房,奉贤区新四平公路2378弄6幢1号,400-890-0000转842565,19988平方米,27095平方米,1.4,35%,车位有295个，车位配比为1:1.1,10栋,268户,上海临源物业有限公司,2.18元/㎡·月
天和前滩时代,3室2厅1厨1卫 84.00㎡(建面)|3室2厅1厨1卫 85.00㎡(建面)|3室2厅1厨1卫 78.00㎡(建面)|2室2厅1厨1卫 64.00㎡(建面)|3室2厅1厨1卫 84.00㎡(建面)|,均价约31000元/平方米,3.77,http://tianheqiantanshidai.fang.com/,http://tianheqiantanshidai.fang.com/house/1211191032/housedetail.htm,http://tianheqiantanshidai.fang.com/photo/list_900_1211191032.htm,http://tianheqiantanshidai.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产小户型,板楼高层,"毛坯,非毛坯",70年,外环以外,在售,暂无,2018年4月19日已开盘[开盘时间详情],2768弄33#等已于2018年4月交付,奉贤区金汇镇万顺路2768弄,400-890-0000转816191,42546平方米,119345平方米,2,36%,机动车停车位共1010个，其中地上机动车位为202个，地下机动车位为808个；车位配比约为1:1；非机动车位有1140个。,52栋,2701户,长城物业集团股份有限公司,2.85元/㎡·月
江畔御庭,5室3厅1厨6卫 500.00㎡(建面)|3室2厅1厨4卫 352.00㎡(建面)|4室2厅2厨5卫 346.76㎡(建面)|4室3厅1厨4卫 432.00㎡(建面)|5室3厅1厨6卫 439.00㎡(建面)|3室3厅1厨4卫 358.00㎡(建面)|,约1500万元/套起,3.93,http://jiangpanyuting.fang.com/,http://jiangpanyuting.fang.com/house/1210642928/housedetail.htm,http://jiangpanyuting.fang.com/photo/list_900_1210642928.htm,http://jiangpanyuting.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,现房特色别墅,独栋,毛坯,独栋:70年,外环以外,在售,暂无,2015年9月27日80-173#已加推[开盘时间详情],2014年12底1#、10-13#、15-139#、150-173#已交房,上海市浦东新区华夏东路5888弄,400-890-0000转670557,191520平方米,100654平方米,0.33,69%,面积400平以下别墅带双车位（地上地下各一个），400平以上别墅室内室外各2个车位。,146栋,146户,上海高力国际物业服务有限公司,7.10元/㎡·月
好世凤翔苑,2室2厅1厨1卫 84.00㎡(建面)|2室2厅1厨1卫 88.00㎡(建面)|3室2厅1厨1卫 103.00㎡(建面)|3室2厅1厨2卫 118.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|4室2厅1厨2卫 152.00㎡(建面)|,待定,3.88,http://fengxiangyuanhs.fang.com/,http://fengxiangyuanhs.fang.com/house/1211130820/housedetail.htm,http://fengxiangyuanhs.fang.com/photo/list_900_1211130820.htm,http://fengxiangyuanhs.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,湖景地产,板楼小高层高层,非毛坯,70年,外环以外,待售,暂无,18#、28#等已于2016年7月30日加推[开盘时间详情],二期房源预计2018年4月交付,上海市嘉定区南翔镇金通路1737弄（近槎溪路）,400-890-0000转698504,85019平方米,153034平方米,1.8,35%,90平以下车位配比为1:1，90-150平车位配比为1:1.5。,22栋,1508户,上海锐翔上房物业管理有限公司,2.95元/㎡·月
新虹桥首府,3室2厅1厨2卫 116.00㎡(建面)|2室1厅1厨1卫 86.80㎡(建面)|3室2厅1厨2卫 118.66㎡(建面)|1室2厅1厨1卫 70.00㎡(建面)|1室2厅1厨1卫 85.00㎡(建面)|2室2厅1厨1卫 88.00㎡(建面)|2室2厅1厨1卫 90.30㎡(建面)|3室2厅1厨2卫 124.81㎡(建面)|4室2厅1厨4卫 263.14㎡(建面)|5室2厅1厨3卫 252.02㎡(建面)|,待定,3.69,http://xinhongqiaoshoufu.fang.com/,http://xinhongqiaoshoufu.fang.com/house/1210874666/housedetail.htm,http://xinhongqiaoshoufu.fang.com/photo/list_900_1210874666.htm,http://xinhongqiaoshoufu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产,板楼小高层高层,毛坯,70年,外环以外,待售,暂无,待定[开盘时间详情],2017年年底已交房,上海市松江区九杜路939号（近涞坊路）,400-890-0000转651063,300000平方米,83311平方米,0.8,40%,车位比1:0.7,15栋,1615户,上海世江物业管理有限公司,2.10元/㎡·月
东方华璟园,3室2厅1厨2卫 131.00㎡(建面)|2室2厅1厨1卫 104.00㎡(建面)|3室2厅1厨2卫 114.00㎡(建面)|1室2厅1厨1卫 58.00㎡(建面)|1室2厅1厨1卫 58.00㎡(建面)|2室2厅1厨1卫 86.00㎡(建面)|2室2厅1厨1卫 87.00㎡(建面)|2室2厅1厨1卫 88.00㎡(建面)|,均价约25000元/平方米,2.97,http://dongfanghuajingyuan.fang.com/,http://dongfanghuajingyuan.fang.com/house/1210124994/housedetail.htm,http://dongfanghuajingyuan.fang.com/photo/list_900_1210124994.htm,http://dongfanghuajingyuan.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,商业",品牌地产低总价,板楼高层,毛坯[1套装修案例],70年商业:70年,外环以外,在售,暂无,2016年12月28日2-3#，5-9#已开盘[开盘时间详情],已于2018年1月31日交房,奉贤青村镇人民路、环镇北路路口,400-890-0000转834765,19000平方米,69000平方米,2.5,20%,513个，地上21，地下513个。,7栋,679户,大华集团物业服务有限公司,1.90元/㎡·月
首创青旅岛尚,2室2厅1厨2卫 120.00㎡(建面)|2室1厅1厨2卫 120.00㎡(建面)|3室2厅1厨3卫 170.00㎡(建面)|3室2厅1厨3卫 170.00㎡(建面)|,均价约13000元/平方米,4.05,http://qinglvdaoshangsc.fang.com/,http://qinglvdaoshangsc.fang.com/house/1211082114/housedetail.htm,http://qinglvdaoshangsc.fang.com/photo/list_900_1211082114.htm,http://qinglvdaoshangsc.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,特色别墅景观居所宜居生态地产旅游地产,独栋联排叠拼,毛坯,独栋:70年联排:70年叠拼:70年,外环以外,待售,暂无,2015年4月25日已加推[开盘时间详情],2014年9月30日已交房,昆山锦溪锦商公路与同周路交叉口（淀山湖西),400-890-0000转868107,550037平方米,371440平方米,0.67,31.10%,车位数量为1：2，有874个停车位,暂无资料,478户,北京盛世物业公司,3.50元/㎡·月
远洋鸿郡,7室4厅1厨4卫 350.00㎡(建面)|4室4厅1厨3卫 182.00㎡(建面)|4室6厅1厨5卫 248.00㎡(建面)|5室5厅1厨3卫 208.00㎡(建面)|,约1800万元/套起,4.16,http://yuanyanghongjun.fang.com/,http://yuanyanghongjun.fang.com/house/1211166142/housedetail.htm,http://yuanyanghongjun.fang.com/photo/list_900_1211166142.htm,http://yuanyanghongjun.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,品牌地产,联排,毛坯,联排:70年,外环以外,在售,暂无,260~266#等已于2015年11月28日加推[开盘时间详情],已于2017年3月18日交房315~322#等二期全部交付,上海市宝山区抚远路885弄,400-890-0000转808239,107824平方米,126324平方米,0.6,暂无资料,待定,287栋,287户,上海远基物业管理有限公司,4.30元/㎡·月
大华碧云天,2室2厅1厨1卫 83.00㎡(建面)|2室2厅1厨1卫 98.00㎡(建面)|3室2厅1厨1卫 118.00㎡(建面)|3室2厅1厨2卫 132.00㎡(建面)|3室2厅1厨2卫 141.00㎡(建面)|3室2厅1厨2卫 144.00㎡(建面)|2室2厅1厨1卫 83.00㎡(建面)|2室2厅1厨1卫 85.00㎡(建面)|2室2厅1厨1卫 98.00㎡(建面)|2室2厅1厨1卫 98.00㎡(建面)|2室2厅1厨1卫 98.00㎡(建面)|3室2厅1厨1卫 107.00㎡(建面)|,待定,3.78,http://biyuntiandh.fang.com/,http://biyuntiandh.fang.com/house/1210124582/housedetail.htm,http://biyuntiandh.fang.com/photo/list_900_1210124582.htm,http://biyuntiandh.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产,板楼高层,非毛坯,70年,中外环间,待售,暂无,预计2018年6月新房源开盘[开盘时间详情],2017年8月已交房,宝山华和路336号,400-890-0000转832239,95000平方米,290000平方米,2.25,35.30%,共523个（地上48个/地下475个），车位配比1:0.81,9栋,1920户,上海卫华物业管理有限公司,2.80元/㎡·月
新湖青蓝国际,2室2厅1厨1卫 85.00㎡(建面)|3室2厅1厨2卫 127.00㎡(建面)|3室2厅1厨2卫 134.00㎡(建面)|3室2厅1厨2卫 139.00㎡(建面)|3室2厅1厨2卫 141.00㎡(建面)|4室2厅1厨2卫 171.00㎡(建面)|,待定,4.04,http://qinglanguoji.fang.com/,http://qinglanguoji.fang.com/house/1210913530/housedetail.htm,http://qinglanguoji.fang.com/photo/list_900_1210913530.htm,http://qinglanguoji.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,暂无,板楼高层超高层,非毛坯,70年,内环以内,待售,暂无,12#、13#等已于2016年4月24日加推[开盘时间详情],一期已于2017年11月24日交付,闸北区青云路306号,400-890-0000转821702,64784平方米,150000平方米,3.45,35%,新湖青蓝国际规划车位814个，车位比为1:1.12。,10栋,724户,上海新湖绿城物业服务有限公司,5.18元/㎡·月
英庭名墅,3室4厅2厨5卫 267.00㎡(建面)|3室4厅2厨4卫 357.00㎡(建面)|3室4厅1厨3卫 226.00㎡(建面)|3室4厅2厨5卫 445.00㎡(建面)|4室4厅2厨7卫 515.00㎡(建面)|,待定,3.96,http://yingtingmingshu.fang.com/,http://yingtingmingshu.fang.com/house/1211206588/housedetail.htm,http://yingtingmingshu.fang.com/photo/list_900_1211206588.htm,http://yingtingmingshu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,现房特色别墅,独栋,毛坯,独栋:70年,外环以外,待售,暂无,"2016年5月18日已加推27#,29#等[开盘时间详情]",2015年12月已交房,上海市青浦区徐泾镇诸光路228弄,400-890-0000转821410,144657平方米,99992平方米,0.44,45%,英庭名墅规划建设机动停车位304个，其中地上停车位304个，地下停车位0个。,182栋,320户,戴德梁行物业有限公司,8.00元/㎡·月
西上海御庭,2室2厅1厨1卫 92.43㎡(建面)|2室2厅1厨1卫 90.35㎡(建面)|2室2厅1厨1卫 90.74㎡(建面)|2室2厅1厨1卫 91.68㎡(建面)|2室2厅1厨1卫 98.00㎡(建面)|2室2厅1厨1卫 98.62㎡(建面)|2室2厅1厨1卫 100.58㎡(建面)|2室2厅1厨2卫 104.66㎡(建面)|2室2厅0厨2卫 111.48㎡(建面)|3室2厅1厨2卫 126.00㎡(建面)|3室2厅1厨2卫 131.00㎡(建面)|,均价约31000元/平方米,3.81,http://xishanghaiyuting.fang.com/,http://xishanghaiyuting.fang.com/house/1211144782/housedetail.htm,http://xishanghaiyuting.fang.com/photo/list_900_1211144782.htm,http://xishanghaiyuting.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,住宅底商",湖景地产景观居所水景地产,板楼低层高层,毛坯,70年住宅底商:50年,外环以外,在售,暂无,157#、162#于2016年10月20日加推[开盘时间详情],55-169#已于2016年9月底交房,上海市嘉定区曹安公路4908弄（靠同济大学嘉定校区）,400-890-0000转804610,120000平方米,176000平方米,2.26,35%,共1252个停车位，车位配比1:1,17栋,1252户,上海捷艾尔物业管理有限公司,2.50元/㎡·月
佘山一品,5室2厅1厨3卫 230.00㎡(建面)|5室3厅1厨4卫 270.00㎡(建面)|5室2厅1厨4卫 300.00㎡(建面)|5室2厅1厨3卫 210.00㎡(建面)|5室2厅1厨5卫 360.00㎡(建面)|,约800万元/套起,3.79,http://sheshanyipin.fang.com/,http://sheshanyipin.fang.com/house/1211155216/housedetail.htm,http://sheshanyipin.fang.com/photo/list_900_1211155216.htm,http://sheshanyipin.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,低密居所特色别墅景观居所,联排叠拼,毛坯,联排:70年叠拼:70年,外环以外,在售,暂无,待定[开盘时间详情],8#-18#已于2016年12月1日交房,松江区桃源路518弄,400-890-0000转807155,80000平方米,80000平方米,1,40%,佘山一品共计638个停车位,319栋,319户,第一太平戴维斯物业管理有限公司,3.40元/㎡·月
览海国际高尔夫社区,3室2厅1厨4卫 230.00㎡(建面)|4室3厅1厨5卫 265.00㎡(建面)|4室2厅1厨3卫 354.00㎡(建面)|4室2厅1厨3卫 354.00㎡(建面)|4室2厅1厨3卫 360.00㎡(建面)|4室2厅1厨3卫 360.00㎡(建面)|4室2厅1厨3卫 369.00㎡(建面)|4室2厅1厨3卫 369.00㎡(建面)|,均价约35000元/平方米,3.93,http://guojigaoerfushequlh.fang.com/,http://guojigaoerfushequlh.fang.com/house/1210795630/housedetail.htm,http://guojigaoerfushequlh.fang.com/photo/list_900_1210795630.htm,http://guojigaoerfushequlh.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,宜居生态地产,独栋,毛坯,独栋:70年,外环以外,在售,暂无,33弄10#33弄100#等已于2011年12月12日已加推[开盘时间详情],2012年12月31日已入住,上海市崇明陈家镇揽海路55弄；市区销售地址：上海虹桥路1591号虹桥迎宾馆15号楼,400-890-0000转654003,300000平方米,217000平方米,0.39,50.25%,览海国际高尔夫社区停车位1058个，车位比1:1.5,308栋,709户,上海览海物业管理有限公司,6.85元/㎡·月
长城逸府,3室2厅1厨2卫 122.00㎡(建面)|3室2厅1厨2卫 138.00㎡(建面)|4室2厅1厨2卫 134.00㎡(建面)|6室4厅1厨2卫 266.00㎡(建面)|3室3厅1厨3卫 120.00㎡(建面)|3室2厅1厨1卫 92.00㎡(建面)|3室3厅1厨3卫 138.00㎡(建面)|3室4厅1厨2卫 155.00㎡(建面)|4室2厅1厨2卫 155.00㎡(建面)|4室2厅1厨2卫 165.00㎡(建面)|4室3厅1厨2卫 177.00㎡(建面)|4室4厅1厨3卫 179.00㎡(建面)|,均价约20000元/平方米,4.13,http://changchengyifu.fang.com/,http://changchengyifu.fang.com/house/1210125650/housedetail.htm,http://changchengyifu.fang.com/photo/list_900_1210125650.htm,http://changchengyifu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,花园洋房,联排",品牌地产低密居所,板楼低层多层小高层高层,毛坯[2套装修案例],70年花园洋房:70年联排:70年,外环以外,在售,暂无,2017年5月20日已加推[开盘时间详情],2017年2月1日已交房,白牛路1068号,400-890-0000转808870,124950平方米,276704平方米,1.6,35%,共1495个车位（地上：144个地下：1351个），车位比1：0.81,30栋,1765户,上海金玉兰物业管理有限公司,1.98元/㎡·月
仁恒公园世纪,5室2厅1厨4卫 275.00㎡(建面)|4室2厅1厨3卫 245.00㎡(建面)|2室2厅1厨1卫 93.00㎡(建面)|3室2厅1厨2卫 156.00㎡(建面)|4室2厅1厨3卫 230.00㎡(建面)|,均价约125000元/平方米,3.46,http://gongyuanshijirh.fang.com/,http://gongyuanshijirh.fang.com/house/1211206004/housedetail.htm,http://gongyuanshijirh.fang.com/photo/list_900_1211206004.htm,http://gongyuanshijirh.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产,塔楼高层超高层,非毛坯,70年,内环以内,在售,暂无,2#、5#、6#已于2017年5月6日加推[开盘时间详情],预计2018年6月交付,上海浦东新区银融路88弄（近浦建路）,400-890-0000转822191,55775平方米,210262平方米,2.66,39.16%,地下停车位1000个，车位比1.4:1。,11栋,700户,上海仁恒物业管理有限公司,5.30元/㎡·月
金地天地云墅,3室2厅1厨2卫 100.00㎡(建面)|3室2厅1厨2卫 110.00㎡(建面)|4室2厅1厨2卫 126.00㎡(建面)|4室2厅1厨2卫 126.00㎡(建面)|4室2厅1厨2卫 132.00㎡(建面)|4室2厅1厨2卫 142.00㎡(建面)|,待定,3.79,http://tiandiyunshujd.fang.com/,http://tiandiyunshujd.fang.com/house/1211214920/housedetail.htm,http://tiandiyunshujd.fang.com/photo/list_900_1211214920.htm,http://tiandiyunshujd.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,"普通住宅,联排",品牌地产,板楼低层多层小高层高层,毛坯,70年联排:70年,外环以外,待售,暂无,预计2018年6月中下旬开盘[开盘时间详情],预计2018年9月底139#等交房,宝山区电台路与苏家浜路交汇处（近宝安公路）,400-890-0000转822950,129335平方米,194883平方米,1.5,35%,共1641个（地上167个/地下1474个），车位配比1:1.07,50栋,948户,上海金地物业服务有限公司,2.95元/㎡·月
宫园巧筑,4室2厅1厨3卫 140.00㎡(建面)|3室2厅1厨2卫 135.00㎡(建面)|4室2厅1厨3卫 140.00㎡(建面)|4室2厅1厨3卫 146.00㎡(建面)|4室2厅1厨3卫 146.00㎡(建面)|4室2厅1厨4卫 159.00㎡(建面)|4室2厅1厨4卫 162.00㎡(建面)|4室2厅1厨4卫 167.00㎡(建面)|4室2厅1厨4卫 169.00㎡(建面)|4室2厅1厨4卫 201.00㎡(建面)|5室2厅1厨4卫 231.00㎡(建面)|,待定,3.6,http://gongyuanqiaozhu.fang.com/,http://gongyuanqiaozhu.fang.com/house/1210125182/housedetail.htm,http://gongyuanqiaozhu.fang.com/photo/list_900_1210125182.htm,http://gongyuanqiaozhu.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,别墅,低密居所,联排叠拼,"毛坯,非毛坯",项目叠拼:70年联排:70年,外环以外,待售,暂无,待定[开盘时间详情],预计2018年5月31日前交房,宝山抚远路993号,400-890-0000转819588,53837平方米,54376平方米,1.01,35%,地下停车位352个,35栋,301户,狮城怡安（上海）物业管理服务有限公司,4.90元/㎡·月
国贸天悦二期（备案名：佘北家园悦山庭）,4室2厅1厨2卫 131.00㎡(建面)|3室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨1卫 91.00㎡(建面)|3室2厅1厨1卫 95.00㎡(建面)|3室2厅1厨1卫 102.00㎡(建面)|3室2厅1厨2卫 120.00㎡(建面)|4室2厅1厨2卫 132.00㎡(建面)|3室2厅1厨1卫 88.00㎡(建面)|3室2厅1厨1卫 90.00㎡(建面)|3室2厅1厨1卫 101.00㎡(建面)|3室2厅1厨2卫 119.00㎡(建面)|3室2厅1厨2卫 125.00㎡(建面)|,均价约41000元/平方米,4.03,http://tianyuesheshangm.fang.com/,http://tianyuesheshangm.fang.com/house/1211140800/housedetail.htm,http://tianyuesheshangm.fang.com/photo/list_900_1211140800.htm,http://tianyuesheshangm.fang.com/dianping/,|/house/kanfangtuan/detail_42624.htm?BehaviorID=146||/house/kanfangtuan/detail_42647.htm?BehaviorID=146|,普通住宅,品牌地产,板楼小高层高层,"毛坯,非毛坯",70年,外环以外,在售,暂无,179弄11#等已于2017年11月20日开盘[开盘时间详情],179弄2#等预计2018年9月30日交房,松江区佘山勋业东路188弄（近嘉松南路）,400-890-0000转830185,52411平方米,142205平方米,1.5,35%,共1131个停车位，车位配比为1：0.85,38栋,1227户,长城物业,2.98元/㎡·月
